sex,id,is_recid,rand
Male,20,0,0.589967
Female,39,0,0.041962662
Female,82,0,0.955691697
Female,30,1,0.821702491
Male,74,1,0.741596489
Male,112,0,0.395248712
Female,87,1,0.890366969
Female,96,0,0.446865663
Male,28,1,0.223084773
Male,76,1,0.3581871
Male,58,0,0.229490101
Female,45,0,0.352373458
Male,118,1,0.883336164
Male,56,0,0.516626743
Female,79,0,0.068500414
Male,6,1,0.612813754
Female,80,0,0.169546317
Male,2,1,0.643709741
Female,61,0,0.674410687
Male,2,1,0.048612869
Female,101,0,0.750952421
Female,23,0,0.342858414
Female,106,1,0.782106966
Male,70,0,0.614992069
Male,28,1,0.417454893
Male,76,1,0.025943461
Male,12,1,0.446096066
Male,18,0,0.965234194
Male,48,1,0.10651108
Female,46,0,0.404762767
Female,31,0,0.523208983
Female,11,1,0.250656594
Male,78,0,0.993744936
Male,76,1,0.622302751
Female,96,0,0.501034242
Male,28,1,0.338027132
Female,91,0,0.688807126
Female,98,1,0.276559963
Female,53,1,0.23920572
Female,54,1,0.499747319
Male,117,0,0.998130069
Female,109,1,0.204749506
Male,20,0,0.317757175
Male,90,1,0.580412394
Male,62,1,0.880087428
Female,49,1,0.771237627
Male,103,0,0.401392406
Female,44,1,0.338273309
Female,100,0,0.749068034
Female,29,0,0.315371449
Female,31,0,0.833351692
Male,110,1,0.427876812
Male,56,0,0.048143787
Male,103,0,0.659403151
Male,21,1,0.319427156
Male,84,1,0.314827306
Male,55,0,0.84625769
Male,77,1,0.702959978
Female,108,1,0.922321606
Male,40,1,0.968287453
Male,78,0,0.983893258
Male,71,0,0.588932849
Male,25,0,0.854850928
Male,74,1,0.189313732
Female,104,1,0.578889925
Female,3,0,0.451638238
Male,35,1,0.469767208
Male,25,0,0.215605185
Female,3,0,0.231022187
Male,21,1,0.748013703
Male,113,0,0.071636802
Male,27,1,0.132209184
Male,68,1,0.525590034
Male,22,0,0.593067969
Male,114,1,0.188255273
Female,93,0,0.216673564
Female,88,0,0.789329515
Male,110,1,0.381049744
Female,75,0,0.008881475
Male,117,0,0.187117914
Female,79,0,0.940261268
Male,18,0,0.294058578
Male,42,1,0.414173355
Female,91,0,0.697020811
Male,118,1,0.547183893
Female,43,1,0.293237819
Male,25,0,0.599197705
Male,48,1,0.057918644
Female,109,1,0.843782286
Female,95,1,0.698037696
Female,44,1,0.228653807
Male,25,0,0.189317843
Male,22,0,0.71681443
Male,2,1,0.055346636
Female,111,0,0.906008207
Female,43,1,0.908700234
Male,1,0,0.694087968
Male,25,0,0.970755233
Male,116,0,0.007974062
Female,9,1,0.740692586
Male,83,0,0.894483504
Female,9,1,0.641001898
Male,20,0,0.899874237
Female,100,0,0.439102447
Female,34,1,0.016851796
Male,37,1,0.516132948
Female,54,1,0.976010728
Male,2,1,0.745576888
Female,88,0,0.645473943
Female,46,0,0.221511555
Male,21,1,0.359368384
Male,7,1,0.472763132
Female,51,0,0.235847601
Male,114,1,0.212163194
Male,56,0,0.758339748
Male,65,0,0.803320898
Female,99,0,0.370054986
Male,50,0,0.992988741
Female,33,1,0.478031082
Female,82,0,0.754383194
Female,36,1,0.837424904
Female,80,0,0.421801209
Male,48,1,0.865326677
Male,118,1,0.424754235
Female,59,1,0.041637784
Female,23,0,0.31167199
Male,28,1,0.695091859
Female,86,1,0.165246028
Male,48,1,0.412592277
Female,23,0,0.707843535
Female,75,0,0.704966587
Female,98,1,0.892117158
Male,40,1,0.875380131
Male,68,1,0.288200615
Female,96,0,0.036524754
Female,85,1,0.910505808
Female,66,0,0.687222203
Female,44,1,0.213254271
Male,18,0,0.750631487
Male,48,1,0.283179533
Female,16,0,0.568598712
Male,74,1,0.572446923
Female,63,0,0.75170377
Male,92,0,0.250786423
Female,75,0,0.627126826
Female,109,1,0.775968348
Male,55,0,0.817511545
Female,45,0,0.221278485
Male,15,1,0.165025691
Female,87,1,0.68236163
Female,85,1,0.5747338
Female,93,0,0.745440599
Male,77,1,0.574461335
Male,2,1,0.105649666
Male,113,0,0.796714724
Male,107,0,0.473234711
Male,21,1,0.00027368
Male,32,0,0.404618068
Male,113,0,0.484532204
Male,12,1,0.379785527
Male,1,0,0.781101045
Female,30,1,0.086527715
Female,89,0,0.97198962
Female,109,1,0.29192186
Female,108,1,0.3904673
Female,108,1,0.277637554
Female,82,0,0.963307501
Female,91,0,0.868789045
Female,108,1,0.780284308
Male,65,0,0.917359816
Male,68,1,0.529203633
Male,37,1,0.080590823
Female,61,0,0.352729706
Female,115,1,0.648483715
Male,52,1,0.79166167
Male,78,0,0.976709355
Male,1,0,0.500161437
Female,80,0,0.609673983
Female,97,1,0.649895623
Male,18,0,0.752941261
Male,70,0,0.719763248
Female,97,1,0.739904536
Female,79,0,0.176481255
Male,52,1,0.988206469
Female,89,0,0.23635923
Female,96,0,0.53116826
Male,105,0,0.468591106
Male,1,0,0.414254682
Male,105,0,0.332277691
Male,110,1,0.207028228
Male,116,0,0.695905758
Male,83,0,0.700506081
Female,46,0,0.461160036
Female,66,0,0.225375893
Female,46,0,0.793358847
Female,93,0,0.014281876
Female,115,1,0.718528497
Female,49,1,0.1732882
Male,65,0,0.327838983
Female,95,1,0.77655101
Male,17,0,0.048096273
Male,103,0,0.643391439
Female,102,1,0.656350773
Female,88,0,0.451997049
Female,34,1,0.764947916
Female,111,0,0.630011455
Male,120,1,0.259446467
Female,41,0,0.19875523
Female,34,1,0.075180253
Male,117,0,0.525248601
Male,94,0,0.500581183
Female,38,0,0.605735704
Female,89,0,0.637413972
Male,55,0,0.615642249
Male,2,1,0.253669141
Female,16,0,0.500974005
Female,109,1,0.713003069
Male,15,1,0.428409185
Female,80,0,0.914468858
Female,43,1,0.608783899
Female,33,1,0.595731945
Female,43,1,0.013843881
Female,106,1,0.092127105
Male,24,0,0.397572478
Male,62,1,0.296010314
Female,36,1,0.633368879
Male,50,0,0.573557771
Female,98,1,0.63002861
Female,86,1,0.74326907
Male,120,1,0.148012302
Male,8,0,0.647017234
Male,32,0,0.300347511
Female,38,0,0.002207543
Male,73,0,0.538230103
Female,72,0,0.631877947
Male,76,1,0.941223103
Male,19,0,0.192229351
Female,54,1,0.581670649
Female,9,1,0.64668417
Female,13,0,0.285377449
Male,4,1,0.832264621
Female,64,1,0.428418401
Male,90,1,0.527804322
Male,50,0,0.256373607
Female,119,1,0.394950475
Female,53,1,0.581478862
Female,96,0,0.408947569
Male,20,0,0.007842955
Male,67,1,0.514909467
Female,3,0,0.740765746
Male,60,1,0.068318554
Male,56,0,0.481814831
Female,102,1,0.225633165
Female,87,1,0.706699106
Female,108,1,0.788686047
Male,62,1,0.287870784
Male,68,1,0.459883037
Female,33,1,0.605055105
Male,22,0,0.146535579
Female,81,1,0.952239316
Female,45,0,0.16232233
Male,15,1,0.266045995
Female,11,1,0.982527495
Male,114,1,0.717530906
Male,15,1,0.455762187
Male,90,1,0.75889635
Male,58,0,0.828244843
Male,6,1,0.233303108
Female,75,0,0.379631665
Male,120,1,0.619929889
Female,34,1,0.312893386
Male,120,1,0.728986759
Female,45,0,0.666969481
Male,94,0,0.928961582
Male,15,1,0.222084041
Male,18,0,0.405841366
Female,59,1,0.773546665
Male,19,0,0.751831965
Female,31,0,0.089713947
Female,66,0,0.9195001
Female,36,1,0.545466507
Male,71,0,0.338517335
Female,85,1,0.597295493
Female,38,0,0.514296309
Female,108,1,0.63924224
Female,9,1,0.808048083
Female,3,0,0.294300525
Male,28,1,0.463487023
Female,36,1,0.006209309
Male,15,1,0.54374316
Female,95,1,0.956736788
Male,28,1,0.273516838
Female,31,0,0.957612993
Female,43,1,0.244285598
Female,82,0,0.425266025
Female,98,1,0.681365443
Male,107,0,0.966162121
Male,28,1,0.348155955
Male,65,0,0.484906866
Female,86,1,0.626217441
Male,90,1,0.959566942
Female,44,1,0.82353542
Male,56,0,0.136234467
Male,35,1,0.689639894
Female,66,0,0.125217366
Female,11,1,0.956866257
Male,6,1,0.655151434
Female,119,1,0.484543901
Male,107,0,0.693364853
Male,116,0,0.641316695
Female,54,1,0.786010486
Male,20,0,0.312580773
Female,79,0,0.851264926
Male,67,1,0.491658702
Female,38,0,0.947878452
Male,22,0,0.417579938
Female,96,0,0.718607747
Female,38,0,0.308905661
Female,41,0,0.74907901
Male,113,0,0.798360686
Male,27,1,0.474339201
Male,55,0,0.52538196
Female,85,1,0.002932868
Female,29,0,0.701839585
Male,116,0,0.700989395
Male,78,0,0.314061048
Female,75,0,0.432264267
Female,88,0,0.594327334
Female,36,1,0.140500543
Female,104,1,0.954618437
Male,74,1,0.927245988
Male,71,0,0.18781588
Male,120,1,0.919306506
Male,24,0,0.192741131
Female,34,1,0.556183116
Male,15,1,0.626340176
Female,89,0,0.443686045
Male,4,1,0.726284291
Male,110,1,0.505545568
Male,117,0,0.984893205
Male,15,1,0.248358064
Male,20,0,0.52155939
Male,2,1,0.678186865
Male,25,0,0.602621652
Female,34,1,0.232379053
Male,70,0,0.615456065
Female,79,0,0.173895925
Male,52,1,0.612844322
Male,2,1,0.868960014
Male,48,1,0.778977473
Male,117,0,0.400963434
Female,31,0,0.359859566
Female,86,1,0.196322144
Male,118,1,0.302153645
Female,87,1,0.431301129
Female,64,1,0.94302876
Female,66,0,0.025641338
Male,21,1,0.214406592
Female,119,1,0.967813207
Female,31,0,0.805685726
Female,79,0,0.784298139
Male,21,1,0.712382127
Female,54,1,0.409033782
Female,97,1,0.338745656
Male,117,0,0.766578589
Male,118,1,0.690657147
Female,53,1,0.452729167
Male,70,0,0.646182201
Female,91,0,0.61024728
Male,103,0,0.437442722
Female,44,1,0.637416535
Female,119,1,0.913624003
Male,40,1,0.914515265
Male,40,1,0.288757172
Female,33,1,0.045797857
Male,35,1,0.008137018
Female,88,0,0.971588663
Female,82,0,0.647872613
Male,117,0,0.912813104
Male,107,0,0.542832904
Male,57,1,0.670760156
Female,95,1,0.381306026
Female,34,1,0.660109679
Female,115,1,0.173125751
Female,9,1,0.372347954
Male,62,1,0.524973384
Male,21,1,0.636233491
Female,119,1,0.449134256
Male,112,0,0.22553857
Male,78,0,0.074311151
Female,99,0,0.37663103
Male,70,0,0.442508631
Male,1,0,0.599425251
Female,9,1,0.596289937
Female,111,0,0.881663445
Male,112,0,0.366117275
Female,95,1,0.239053106
Male,19,0,0.232172572
Male,110,1,0.895102755
Female,87,1,0.665179408
Female,72,0,0.562840211
Male,1,0,0.937276118
Female,98,1,0.319465892
Female,102,1,0.378044544
Male,56,0,0.164009295
Female,100,0,0.944567519
Male,71,0,0.709350766
Female,63,0,0.639318993
Male,48,1,0.045518997
Male,110,1,0.179897524
Male,62,1,0.298791398
Male,114,1,0.537112375
Female,49,1,0.233509611
Male,7,1,0.487512299
Male,113,0,0.196401701
Female,23,0,0.384794539
Female,23,0,0.566637572
Male,83,0,0.297637119
Female,53,1,0.503394034
Male,94,0,0.80335306
Female,75,0,0.697595773
Male,7,1,0.769074824
Male,25,0,0.880100745
Male,21,1,0.867163017
Male,20,0,0.409657453
Male,28,1,0.412907951
Female,75,0,0.649679543
Female,36,1,0.773979332
Female,13,0,0.190960843
Female,5,1,0.878298951
Female,49,1,0.527274466
Male,65,0,0.636974394
Female,14,0,0.855815706
Female,5,1,0.524595372
Female,66,0,0.385502971
Male,113,0,0.954270099
Female,99,0,0.50019348
Male,8,0,0.417646795
Female,111,0,0.908403004
Male,22,0,0.307253363
Male,42,1,0.501817125
Male,60,1,0.785547608
Male,113,0,0.426481587
Male,4,1,0.653740577
Male,112,0,0.237886875
Male,26,1,0.190145857
Male,105,0,0.294746476
Female,61,0,0.738317869
Female,44,1,0.77910408
Female,3,0,0.841859781
Female,102,1,0.417485271
Male,103,0,0.102992553
Male,120,1,0.369989245
Male,78,0,0.690055887
Female,41,0,0.244673372
Female,16,0,0.166017366
Female,5,1,0.491673603
Male,57,1,0.601728308
Female,23,0,0.064818958
Male,68,1,0.426478771
Male,113,0,0.871599076
Female,99,0,0.666875262
Male,12,1,0.847498426
Male,27,1,0.078739487
Male,76,1,0.90829794
Male,94,0,0.013035904
Female,14,0,0.135616195
Male,32,0,0.43891371
Female,49,1,0.341067297
Male,21,1,0.066772761
Female,54,1,0.041541977
Female,10,1,0.907288061
Male,12,1,0.223818446
Male,6,1,0.594684121
Female,80,0,0.827152082
Male,92,0,0.59337006
Female,63,0,0.296030963
Male,65,0,0.742148366
Female,9,1,0.321008255
Male,117,0,0.48866093
Male,120,1,0.851875129
Female,44,1,0.964344098
Male,60,1,0.298576692
Male,120,1,0.267964654
Female,64,1,0.155500694
Female,115,1,0.98436138
Male,4,1,0.624201224
Female,46,0,0.779973814
Female,31,0,0.805865089
Female,30,1,0.114464695
Female,75,0,0.427869795
Male,12,1,0.230839859
Male,18,0,0.979015413
Female,59,1,0.484146639
Female,82,0,0.24182759
Female,111,0,0.448017327
Male,103,0,0.984423073
Male,110,1,0.178868642
Female,97,1,0.093714294
Male,7,1,0.835809956
Female,44,1,0.741421308
Female,85,1,0.697354622
Female,119,1,0.377256597
Male,12,1,0.359089299
Female,98,1,0.604150466
Male,47,0,0.596351278
Female,93,0,0.385744117
Male,78,0,0.380899036
Female,100,0,0.179398508
Female,54,1,0.975750616
Male,67,1,0.707658898
Male,67,1,0.210548114
Male,83,0,0.757099145
Female,46,0,0.704687108
Male,8,0,0.667853191
Female,41,0,0.939247712
Female,85,1,0.139318417
Female,106,1,0.185144194
Male,32,0,0.101555035
Male,35,1,0.535460665
Male,70,0,0.753363393
Male,22,0,0.484988403
Male,73,0,0.870913424
Female,16,0,0.979701605
Female,44,1,0.040502281
Female,95,1,0.258332251
Male,50,0,0.083145266
Male,116,0,0.501427898
Male,40,1,0.54278224
Female,119,1,0.350788026
Male,57,1,0.836253084
Male,50,0,0.601444196
Male,117,0,0.047153423
Female,91,0,0.807685945
Female,59,1,0.777859564
Male,42,1,0.576315374
Male,73,0,0.766140848
Female,38,0,0.060575981
Male,70,0,0.642757491
Female,64,1,0.727954668
Female,95,1,0.752663287
Male,17,0,0.612001657
Female,43,1,0.848150565
Female,97,1,0.413331391
Male,103,0,0.099868781
Male,114,1,0.156394246
Male,50,0,0.996757871
Male,68,1,0.330960186
Male,28,1,0.977232906
Female,11,1,0.896343325
Female,97,1,0.463505133
Female,106,1,0.714850546
Male,94,0,0.678194081
Female,89,0,0.582824572
Male,50,0,0.300633488
Female,104,1,0.773953581
Male,73,0,0.522877817
Female,39,0,0.884386367
Female,115,1,0.421419991
Male,50,0,0.717803489
Male,92,0,0.325968735
Female,75,0,0.740939071
Male,26,1,0.643346585
Female,96,0,0.293063356
Female,91,0,0.326517226
Male,55,0,0.906805325
Female,69,1,0.322655815
Male,52,1,0.662939735
Male,42,1,0.253855525
Male,18,0,0.376816314
Female,97,1,0.467692311
Female,93,0,0.036038022
Male,113,0,0.609323198
Female,100,0,0.013615886
Female,109,1,0.771940561
Male,73,0,0.689087518
Female,53,1,0.081997935
Female,97,1,0.689502567
Female,93,0,0.494075345
Male,110,1,0.482667869
Female,86,1,0.297339248
Female,98,1,0.65240307
Male,107,0,0.08023412
Female,101,0,0.16469533
Female,38,0,0.041918856
Female,39,0,0.685971018
Male,2,1,0.274076317
Male,68,1,0.911037378
Male,27,1,0.904039511
Male,113,0,0.467645257
Male,15,1,0.581280753
Female,102,1,0.80145482
Male,70,0,0.540673942
Female,86,1,0.305777375
Female,23,0,0.444726404
Female,43,1,0.081836444
Female,29,0,0.903901997
Female,101,0,0.850939026
Female,88,0,0.798136363
Female,43,1,0.200381622
Male,2,1,0.581031735
Female,23,0,0.218889366
Female,39,0,0.416512442
Female,115,1,0.509508389
Male,74,1,0.265577115
Male,20,0,0.471274584
Female,81,1,0.579076661
Female,45,0,0.254004186
Male,8,0,0.81934116
Male,116,0,0.280562504
Female,99,0,0.486472337
Female,38,0,0.219566693
Female,9,1,0.819241902
Male,2,1,0.097738936
Male,110,1,0.834021324
Female,72,0,0.557451578
Male,24,0,0.671104036
Male,58,0,0.2385686
Female,53,1,0.505550924
Female,97,1,0.643630665
Male,37,1,0.299287338
Female,63,0,0.08733852
Female,63,0,0.340210409
Male,90,1,0.259696157
Female,72,0,0.518928657
Female,46,0,0.764724259
Female,99,0,0.804119788
Male,110,1,0.59029689
Female,29,0,0.646680325
Male,76,1,0.372557675
Male,94,0,0.563641327
Female,45,0,0.459785491
Male,25,0,0.250170831
Male,35,1,0.393230018
Female,98,1,0.315101974
Female,30,1,0.094320939
Male,32,0,0.297116965
Female,72,0,0.759618833
Male,67,1,0.972659668
Male,94,0,0.488749417
Female,45,0,0.234681009
Female,54,1,0.412072708
Male,117,0,0.516024867
Male,70,0,0.180163297
Female,5,1,0.945091861
Female,64,1,0.771323118
Female,59,1,0.971118832
Male,83,0,0.30435312
Male,35,1,0.333368911
Male,52,1,0.049896832
Male,84,1,0.407102593
Male,114,1,0.867639164
Female,14,0,0.0828274
Male,62,1,0.667425455
Female,36,1,0.324142227
Male,20,0,0.205666446
Male,62,1,0.11178784
Female,100,0,0.962600083
Female,100,0,0.27343382
Female,85,1,0.284789032
Female,101,0,0.853478599
Male,56,0,0.816288792
Female,16,0,0.153931993
Male,71,0,0.71796639
Male,19,0,0.663612844
Female,102,1,0.698124818
Male,71,0,0.131938098
Female,91,0,0.316742503
Female,119,1,0.940297599
Female,9,1,0.474849206
Male,77,1,0.848947397
Female,33,1,0.742107459
Female,106,1,0.735161802
Male,1,0,0.651732132
Male,103,0,0.153214766
Female,100,0,0.192622569
Female,97,1,0.702305454
Female,36,1,0.560282307
Female,33,1,0.101531323
Female,13,0,0.162528241
Female,5,1,0.328277015
Male,35,1,0.487334262
Male,116,0,0.403765219
Female,72,0,0.300858582
Female,88,0,0.125154609
Female,23,0,0.637175681
Female,98,1,0.999717701
Female,72,0,0.518172514
Male,20,0,0.891525991
Female,88,0,0.652247404
Female,82,0,0.768520569
Female,66,0,0.608393562
Female,9,1,0.007893698
Female,93,0,0.255309764
Male,78,0,0.23830334
Male,73,0,0.205859883
Male,110,1,0.346897322
Female,108,1,0.291640726
Male,78,0,0.589237418
Male,83,0,0.080719766
Female,98,1,0.904429567
Male,84,1,0.467513607
Female,101,0,0.419769361
Female,96,0,0.473419301
Female,13,0,0.775085464
Female,91,0,0.011893038
Female,95,1,0.149722393
Male,76,1,0.45023963
Female,49,1,0.36042073
Male,62,1,0.781976876
Male,4,1,0.992519651
Male,77,1,0.227429961
Female,72,0,0.886162469
Male,110,1,0.620742614
Male,73,0,0.581834936
Male,116,0,0.78410597
Male,113,0,0.978468216
Female,66,0,0.962841925
Female,41,0,0.960922983
Male,35,1,0.58336007
Female,97,1,0.9536306
Female,13,0,0.926320464
Male,20,0,0.277054976
Male,55,0,0.15042402
Male,28,1,0.742072708
Female,86,1,0.68150198
Female,82,0,0.66255822
Female,91,0,0.65110627
Male,35,1,0.671152929
Female,98,1,0.430784554
Male,77,1,0.518228874
Male,105,0,0.507985702
Female,95,1,0.532023527
Male,24,0,0.915546973
Female,79,0,0.298822423
Female,11,1,0.047639037
Female,115,1,0.023475308
Female,54,1,0.463126629
Female,43,1,0.400922716
Male,71,0,0.33715844
Male,107,0,0.177632479
Male,22,0,0.079101638
Male,15,1,0.901758986
Female,49,1,0.135043314
Female,69,1,0.371650046
Male,112,0,0.116631367
Female,13,0,0.027246084
Female,61,0,0.867549434
Female,38,0,0.368928139
Female,106,1,0.766331892
Female,66,0,0.746347321
Male,4,1,0.4269041
Female,49,1,0.751364733
Male,22,0,0.534123375
Male,92,0,0.446931505
Male,92,0,0.626973525
Male,47,0,0.710955926
Female,87,1,0.221481411
Female,54,1,0.790215152
Female,97,1,0.609644757
Male,77,1,0.626044519
Male,58,0,0.663188473
Male,24,0,0.487057585
Male,76,1,0.025287536
Female,104,1,0.200122978
Female,51,0,0.013960519
Female,16,0,0.807019179
Male,2,1,0.078692952
Female,36,1,0.969809849
Female,39,0,0.484758934
Female,30,1,0.297904028
Male,24,0,0.938147394
Female,10,1,0.253182416
Female,61,0,0.474917318
Male,47,0,0.390476551
Male,20,0,0.842742355
Female,63,0,0.106838718
Male,71,0,0.772670399
Male,74,1,0.270694065
Female,88,0,0.840367383
Female,34,1,0.128527443
Male,57,1,0.931746169
Male,25,0,0.917977942
Male,26,1,0.143539347
Male,60,1,0.943039124
Female,87,1,0.089246786
Female,97,1,0.796009908
Female,45,0,0.91904446
Female,46,0,0.850216855
Female,104,1,0.021987945
Male,1,0,0.738265144
Female,54,1,0.945876405
Female,43,1,0.875242809
Male,114,1,0.412363578
Female,9,1,0.910902485
Female,61,0,0.031747096
Female,44,1,0.675455646
Male,50,0,0.131348181
Male,74,1,0.431754046
Male,32,0,0.261059397
Female,87,1,0.089132448
Female,16,0,0.666794832
Male,28,1,0.117491397
Male,67,1,0.059794334
Female,95,1,0.159310196
Male,32,0,0.97508862
Female,104,1,0.75350912
Male,118,1,0.955141682
Female,38,0,0.877303345
Male,103,0,0.248339047
Male,107,0,0.747607503
Male,22,0,0.721103761
Male,35,1,0.027083695
Male,94,0,0.985832479
Male,76,1,0.196605685
Female,43,1,0.695244007
Female,54,1,0.635878898
Male,26,1,0.701138032
Male,92,0,0.407492215
Male,67,1,0.983602467
Male,4,1,0.123362271
Female,81,1,0.480224129
Male,78,0,0.015004334
Male,8,0,0.005174842
Male,114,1,0.33744973
Female,69,1,0.849493901
Male,77,1,0.884991911
Male,116,0,0.892893179
Male,48,1,0.519603905
Female,97,1,0.222851368
Male,47,0,0.62411981
Male,4,1,0.774638033
Female,14,0,0.980764316
Female,59,1,0.232072736
Female,45,0,0.018892449
Female,13,0,0.555514114
Female,115,1,0.15734252
Male,19,0,0.764239542
Male,84,1,0.096858329
Male,22,0,0.386866821
Male,1,0,0.532466367
Male,60,1,0.638731782
Male,19,0,0.430645936
Male,55,0,0.816802327
Female,14,0,0.190518324
Male,105,0,0.724995844
Male,50,0,0.996710492
Female,41,0,0.43824933
Male,112,0,0.548905131
Male,77,1,0.666954203
Male,103,0,0.324921872
Male,94,0,0.067951239
Female,99,0,0.312874733
Male,47,0,0.968213244
Female,41,0,0.435253569
Female,108,1,0.745484704
Female,106,1,0.696181852
Female,88,0,0.663518783
Male,70,0,0.482970959
Female,98,1,0.804483549
Male,52,1,0.529061554
Female,36,1,0.827155129
Male,17,0,0.017508845
Male,92,0,0.014230515
Male,37,1,0.369986139
Male,74,1,0.820340276
Male,112,0,0.049285892
Female,93,0,0.617197341
Male,116,0,0.519673031
Male,118,1,0.96692182
Female,86,1,0.172376825
Female,31,0,0.241163342
Male,52,1,0.152954378
Female,96,0,0.86289072
Male,92,0,0.94002034
Male,7,1,0.298645175
Male,57,1,0.979482005
Male,50,0,0.820410918
Male,1,0,0.561917918
Female,5,1,0.355156154
Male,73,0,0.724475647
Female,101,0,0.098099878
Male,117,0,0.215411812
Male,113,0,0.591372909
Male,1,0,0.737410422
Male,25,0,0.159213565
Female,89,0,0.99866762
Male,40,1,0.923866709
Female,34,1,0.479606714
Female,109,1,0.138923987
Male,42,1,0.218457098
Male,18,0,0.96118568
Female,23,0,0.87314203
Female,34,1,0.433131393
Male,73,0,0.370937293
Female,81,1,0.995579509
Female,89,0,0.959933053
Male,37,1,0.564828906
Female,100,0,0.128774089
Female,30,1,0.991058301
Male,24,0,0.875402673
Female,64,1,0.534538553
Female,108,1,0.610463607
Female,109,1,0.707542917
Female,119,1,0.671530611
Male,103,0,0.62468386
Female,89,0,0.793088993
Male,71,0,0.997775684
Female,109,1,0.562589861
